time,mac,id,lat,long,board
1461282453,00-17-0d-00-00-b0-00-aa,2,-33.11513,-68.48351,
1461282704,00-17-0d-00-00-b0-00-cc,3,-33.06942,-68.28850,
1461282727,00-17-0d-00-00-60-05-69,4,-33.11432,-68.47990,
1461282729,00-17-0d-00-00-b0-00-87,5,-33.06891,-68.28818,
1461282759,00-17-0d-00-00-3f-fe-87,6,,,
1461282760,00-17-0d-00-00-30-60-ef,7,-33.11456,-68.48035,
1461282765,00-17-0d-00-00-60-05-5f,8,-33.11428,-68.48012,
1461282777,00-17-0d-00-00-3f-f8-20,9,-33.11464,-68.48028,
1461282785,00-17-0d-00-00-60-08-d5,10,-33.11444,-68.48024,
1461282789,00-17-0d-00-00-3f-fe-88,11,-33.11446,-68.48001,
1461282791,00-17-0d-00-00-60-02-4b,12,-33.11421,-68.47995,
1461282800,00-17-0d-00-00-60-05-78,13,-33.11405,-68.47983,
1461282809,00-17-0d-00-00-60-06-0f,14,-33.11450,-68.48016,
1461282811,00-17-0d-00-00-60-01-f8,15,-33.11439,-68.47984,
1461282816,00-17-0d-00-00-60-06-27,16,-33.11435,-68.48005,
1461282818,00-17-0d-00-00-60-03-82,17,-33.11469,-68.48005,
1461282828,00-17-0d-00-00-60-06-ec,17,,,
1461282844,00-17-0d-00-00-60-05-ab,18,-33.11418,-68.47979,
1461282876,00-17-0d-00-00-38-0f-66,19,-33.11403,-68.47993,
1461282879,00-17-0d-00-00-60-02-1b,20,-33.11417,-68.48003,
1461282880,00-17-0d-00-00-58-32-36,21,-33.11464,-68.48015,
1461282938,00-17-0d-00-00-60-03-82,22,-33.11469,-68.48005,
1461323947,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1461323963,00-17-0d-00-00-b0-00-87,4,-33.11483,-68.48033,
1461323976,00-17-0d-00-00-58-32-36,5,-33.11464,-68.48015,
1461323988,00-17-0d-00-00-3f-f8-20,6,-33.11464,-68.48028,
1461323989,00-17-0d-00-00-30-60-ef,7,-33.11456,-68.48035,
1461323991,00-17-0d-00-00-3f-fe-88,8,-33.11446,-68.48001,
1461323992,00-17-0d-00-00-60-06-27,9,-33.11435,-68.48005,
1461323993,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,
1461323996,00-17-0d-00-00-38-0f-66,11,-33.11403,-68.47993,
1461324008,00-17-0d-00-00-60-08-d5,12,-33.11444,-68.48024,
1461324012,00-17-0d-00-00-3f-fe-87,13,,,
1461324016,00-17-0d-00-00-60-06-0f,14,-33.11450,-68.48016,
1461324022,00-17-0d-00-00-60-06-ec,15,,,
1461324051,00-17-0d-00-00-60-03-82,16,-33.11469,-68.48005,
1461324051,00-17-0d-00-00-60-02-1b,17,-33.11417,-68.48003,
1461324065,00-17-0d-00-00-60-02-4b,18,-33.11421,-68.47995,
1461324069,00-17-0d-00-00-60-05-ab,19,-33.11418,-68.47979,
1461324076,00-17-0d-00-00-60-05-5f,19,-33.11428,-68.48012,
1461324082,00-17-0d-00-00-60-05-69,20,-33.11432,-68.47990,
1461324188,00-17-0d-00-00-60-05-ab,21,-33.11418,-68.47979,
1461324273,00-17-0d-00-00-60-01-f8,22,-33.11439,-68.47984,
1461334733,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1461334755,00-17-0d-00-00-58-32-36,4,-33.11464,-68.48015,
1461334761,00-17-0d-00-00-60-03-82,5,-33.11469,-68.48005,
1461334767,00-17-0d-00-00-b0-00-87,6,-33.11483,-68.48033,
1461334777,00-17-0d-00-00-3f-fe-88,7,-33.11446,-68.48001,
1461334779,00-17-0d-00-00-60-08-d5,8,-33.11444,-68.48024,
1461334780,00-17-0d-00-00-60-05-69,9,-33.11432,-68.47990,
1461334781,00-17-0d-00-00-30-60-ef,10,-33.11456,-68.48035,
1461334784,00-17-0d-00-00-60-01-f8,11,-33.11439,-68.47984,
1461334786,00-17-0d-00-00-60-06-0f,11,-33.11450,-68.48016,
1461334788,00-17-0d-00-00-60-02-1b,11,-33.11417,-68.48003,
1461334798,00-17-0d-00-00-38-0f-66,11,-33.11403,-68.47993,
1461334798,00-17-0d-00-00-3f-f8-20,12,-33.11464,-68.48028,
1461334826,00-17-0d-00-00-60-02-4b,14,-33.11421,-68.47995,
1461334826,00-17-0d-00-00-60-05-ab,13,-33.11418,-68.47979,
1461334828,00-17-0d-00-00-3f-fe-87,15,,,
1461334841,00-17-0d-00-00-60-05-5f,16,-33.11428,-68.48012,
1461334844,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,
1461334873,00-17-0d-00-00-60-02-1b,18,-33.11417,-68.48003,
1461334875,00-17-0d-00-00-60-05-78,19,-33.11405,-68.47983,
1461334906,00-17-0d-00-00-60-06-0f,20,-33.11450,-68.48016,
1461334946,00-17-0d-00-00-60-06-ec,21,,,
1461334947,00-17-0d-00-00-60-01-f8,22,-33.11439,-68.47984,
1463281202,00-17-0d-00-00-60-08-d5,19,-33.11454,-68.47996,
1463281206,00-17-0d-00-00-60-05-ab,12,-33.11421,-68.47995,
1463281207,00-17-0d-00-00-60-03-82,7,-33.11469,-68.48005,
1463281210,00-17-0d-00-00-3f-fe-88,13,-33.11450,-68.48016,
1463281213,00-17-0d-00-00-3f-fe-87,8,-33.11444,-68.48024,
1463281216,00-17-0d-00-00-60-01-f8,20,-33.11439,-68.47984,
1463281218,00-17-0d-00-00-60-06-ec,19,-33.11417,-68.48003,
1463281228,00-17-0d-00-00-60-05-78,15,-33.11405,-68.47983,
1463281235,00-17-0d-00-00-60-06-27,16,-33.11435,-68.48005,
1463281236,00-17-0d-00-00-30-60-ef,17,-33.11456,-68.48035,
1463281245,00-17-0d-00-00-60-02-1b,17,-33.11426,-68.47973,
1463281246,00-17-0d-00-00-60-05-69,9,-33.11432,-68.47990,
1463281249,00-17-0d-00-00-60-05-5f,10,-33.11428,-68.48012,
1463281251,00-17-0d-00-00-38-0f-66,18,-33.11403,-68.47993,
1463281259,00-17-0d-00-00-60-08-d5,21,-33.11454,-68.47996,
1463296727,00-17-0d-00-00-58-32-36,4,-33.11464,-68.48015,
1463296736,00-17-0d-00-00-b0-00-87,5,-33.11483,-68.48033,
1463300257,00-17-0d-00-00-30-60-ef,22,-33.11456,-68.48035,
1466086674,00-17-0d-00-00-60-06-0f,23,-33.11446,-68.48001,DC9003
1466089903,00-17-0d-00-00-60-06-ec,24,-33.11417,-68.48003,DC9003
1466218803,00-17-0d-00-00-60-01-f8,9,-33.11439,-68.47984,DC9003
1466218806,00-17-0d-00-00-60-06-27,10,-33.11435,-68.48005,DC9003
1466218807,00-17-0d-00-00-60-05-78,10,-33.11405,-68.47983,DC9003
1466218808,00-17-0d-00-00-b0-00-cc,3,-33.11566,-68.48086,
1466218815,00-17-0d-00-00-3f-fe-88,19,-33.1145,-68.48016,DC9003
1466218816,00-17-0d-00-00-60-08-d5,20,-33.11454,-68.47996,DC9003
1466218828,00-17-0d-00-00-30-60-ef,11,-33.11456,-68.48035,DC9018
1466218832,00-17-0d-00-00-3f-f8-20,14,-33.11464,-68.48028,DC9003
1466218836,00-17-0d-00-00-3f-fe-87,4,-33.11444,-68.48024,DC9003
1466218841,00-17-0d-00-00-60-02-1b,12,-33.11426,-68.47973,DC9003
1466218844,00-17-0d-00-00-38-0f-66,15,-33.11403,-68.47993,DC9003
1466218846,00-17-0d-00-00-60-05-5f,18,-33.11428,-68.48012,DC9003
1466218847,00-17-0d-00-00-60-02-4b,13,-33.11418,-68.47979,DC9003
1466218848,00-17-0d-00-00-60-05-5f,14,-33.11428,-68.48012,DC9003
1466218854,00-17-0d-00-00-60-05-69,6,-33.11432,-68.4799,DC9003
1466218857,00-17-0d-00-00-58-32-36,7,-33.11464,-68.48015,DC9018
1466218860,00-17-0d-00-00-b0-00-87,8,-33.11483,-68.48033,
1466218861,00-17-0d-00-00-60-06-27,17,-33.11435,-68.48005,DC9003
